Date,Open,High,Low,Close,Adj Close,Volume
2018-04-19,105.889999,107.650002,105.519997,105.889999,104.635498,2129400
2018-04-20,105.739998,106.089996,104.690002,104.959999,103.716507,2099500
2018-04-23,104.900002,105.669998,104.199997,104.790001,103.548538,2084400
2018-04-24,105.080002,105.160004,102.709999,103.269997,102.046539,2084600
2018-04-25,103.290001,103.980003,102.309998,103.260002,102.036636,1891200
2018-04-26,103.699997,105.919998,103.550003,105.300003,104.052483,3178400
2018-04-27,105.300003,105.779999,104.540001,105.610001,104.358818,1205300
2018-04-30,105.570000,106.000000,103.519997,103.650002,102.422012,2294700
2018-05-01,103.500000,104.110001,102.559998,104.050003,102.817314,2358100
2018-05-02,103.070000,103.889999,102.330002,102.680000,101.463524,2249000
2018-05-03,102.250000,103.089996,100.430000,101.279999,100.080116,2504100
2018-05-04,101.000000,102.940002,101.000000,102.349998,101.137413,2723700
2018-05-07,102.510002,103.320000,102.510002,103.000000,101.779732,2689000
2018-05-08,102.830002,103.129997,101.730003,102.410004,101.196716,2597200
2018-05-09,102.610001,104.250000,102.029999,103.790001,102.560394,2294500
2018-05-10,103.870003,104.910004,103.410004,103.730003,102.501099,2787300
2018-05-11,103.730003,106.930000,103.730003,106.580002,105.317314,5060300
2018-05-14,106.800003,108.480003,106.800003,107.680000,106.404297,3458500
2018-05-15,106.820000,106.959999,106.230003,106.580002,105.317314,2117900
2018-05-16,106.599998,107.980003,106.449997,107.529999,106.256058,1393700
2018-05-17,107.480003,107.720001,106.839996,107.589996,106.315353,2489200
2018-05-18,107.790001,108.160004,107.250000,107.800003,106.522865,5527100
2018-05-21,108.129997,108.430000,105.930000,106.379997,105.119690,2515200
2018-05-22,106.500000,107.400002,106.190002,106.720001,105.455658,2129600
2018-05-23,106.099998,107.629997,106.099998,107.250000,105.979370,1505300
2018-05-24,107.250000,107.720001,106.790001,107.339996,106.068321,1967100
2018-05-25,107.510002,107.779999,107.260002,107.559998,106.285713,2078800
2018-05-29,106.800003,107.620003,105.849998,107.080002,105.811386,3021700
2018-05-30,107.550003,108.839996,107.260002,108.510002,107.224457,2797900
2018-05-31,108.800003,109.279999,107.709999,108.449997,107.165169,3137100
2018-06-01,109.129997,110.099998,108.540001,109.839996,108.538689,2076800
