Date,Open,High,Low,Close,Adj Close,Volume
2022-04-19,48.910000,49.790001,48.900002,49.660000,47.929966,5908900
2022-04-20,49.799999,50.740002,49.709999,50.599998,48.837215,6241800
2022-04-21,50.799999,50.970001,50.240002,50.270000,48.518719,6083100
2022-04-22,50.200001,50.200001,49.330002,49.369999,47.650070,8511100
2022-04-25,49.310001,49.450001,48.340000,49.139999,47.428082,8143800
2022-04-26,49.049999,49.380001,48.360001,48.369999,46.684910,8830300
2022-04-27,48.470001,48.860001,48.029999,48.080002,46.405014,13001300
2022-04-28,48.430000,49.105000,47.779999,48.959999,47.254353,9532500
2022-04-29,48.619999,48.669998,46.490002,46.599998,44.976574,11520500
2022-05-02,46.730000,46.889999,44.458000,45.389999,43.808727,17231300
2022-05-03,45.619999,46.259998,45.220001,45.939999,44.339565,13431300
2022-05-04,45.930000,46.549999,45.154999,46.480000,44.860752,14707100
2022-05-05,46.220001,46.580002,44.959999,45.290001,43.712208,13591600
2022-05-06,44.900002,45.080002,44.330002,44.830002,43.268234,16154900
2022-05-09,44.419998,44.419998,42.599998,42.740002,41.251049,18005000
2022-05-10,43.259998,43.570000,41.520000,41.790001,40.334141,27771000
2022-05-11,41.910000,42.669998,41.660000,41.730000,40.276226,25360800
2022-05-12,41.709999,42.040001,41.369999,42.040001,40.575432,20802700
2022-05-13,42.509998,43.119999,42.119999,43.090000,41.588852,8949200
2022-05-16,42.959999,43.139999,42.695000,42.740002,41.251049,7445500
2022-05-17,43.250000,43.299999,42.590000,43.200001,41.695023,7254800
2022-05-18,43.130001,43.180000,41.799999,41.939999,40.478912,9546400
2022-05-19,41.650002,42.349998,41.590000,41.860001,40.401699,8204600
2022-05-20,42.310001,42.430000,41.689999,42.349998,40.874630,9859500
2022-05-23,42.680000,43.000000,42.110001,42.900002,41.405472,8100200
2022-05-24,42.630001,43.470001,42.139999,43.400002,41.888054,9706200
2022-05-25,43.209999,43.790001,43.060001,43.639999,42.119690,7668000
2022-05-26,43.910000,44.116001,43.500000,43.590000,42.071434,7131100
2022-05-27,43.830002,44.840000,43.830002,44.820000,43.258579,4540800
2022-05-31,44.349998,44.549999,43.970001,44.220001,42.679485,15462000
2022-06-01,44.389999,44.419998,43.259998,43.740002,42.216206,9317800
2022-06-02,43.529999,44.419998,42.904999,44.400002,42.853214,8401500
2022-06-03,44.000000,44.310001,43.740002,43.840000,42.312725,6905100
2022-06-06,44.150002,44.220001,43.590000,43.709999,42.187248,7605400
